task,candidate,feature_set,selector,n_features,svm_weight,xgb_weight,accuracy,macro_f1,weighted_f1
level,low_dim_all_raw_svm0.75_xgb0.25,low_dim_all,raw,338,0.75,0.25,0.7557603686635944,0.7224104831099769,0.7531881017919348
level,low_dim_all_f_classif_k96_svm0.25_xgb0.75,low_dim_all,f_classif_k96,96,0.25,0.75,0.7096774193548387,0.6775821274435135,0.7077407281316576
level,low_dim_all_f_classif_k96_svm0.40_xgb0.60,low_dim_all,f_classif_k96,96,0.4,0.6,0.7142857142857143,0.6829310580827668,0.7147893281120251
level,low_dim_all_f_classif_k96_svm0.50_xgb0.50,low_dim_all,f_classif_k96,96,0.5,0.5,0.7096774193548387,0.6780498048202599,0.7107863107391055
level,low_dim_all_f_classif_k96_svm0.60_xgb0.40,low_dim_all,f_classif_k96,96,0.6,0.4,0.6912442396313364,0.659217296729673,0.6930788263158112
level,low_dim_all_f_classif_k96_svm0.75_xgb0.25,low_dim_all,f_classif_k96,96,0.75,0.25,0.7004608294930875,0.6706714982006144,0.702728901277062
level,low_dim_all_f_classif_k128_svm0.25_xgb0.75,low_dim_all,f_classif_k128,128,0.25,0.75,0.7327188940092166,0.7061045031196593,0.7307253165988187
level,low_dim_all_f_classif_k128_svm0.40_xgb0.60,low_dim_all,f_classif_k128,128,0.4,0.6,0.728110599078341,0.6983365072504875,0.7274356792934774
level,low_dim_all_f_classif_k128_svm0.50_xgb0.50,low_dim_all,f_classif_k128,128,0.5,0.5,0.7235023041474654,0.6990863881249294,0.724478305005824
level,low_dim_all_f_classif_k128_svm0.60_xgb0.40,low_dim_all,f_classif_k128,128,0.6,0.4,0.7142857142857143,0.6879815876324474,0.7159034923623335
level,low_dim_all_f_classif_k128_svm0.75_xgb0.25,low_dim_all,f_classif_k128,128,0.75,0.25,0.7188940092165899,0.6935254841535998,0.7210856375620149
level,low_dim_all_f_classif_k192_svm0.25_xgb0.75,low_dim_all,f_classif_k192,192,0.25,0.75,0.7327188940092166,0.6996222902650796,0.7283232534334327
level,low_dim_all_f_classif_k192_svm0.40_xgb0.60,low_dim_all,f_classif_k192,192,0.4,0.6,0.7419354838709677,0.708195161588629,0.7376959346910609
level,low_dim_all_f_classif_k192_svm0.50_xgb0.50,low_dim_all,f_classif_k192,192,0.5,0.5,0.7603686635944701,0.7294326676577079,0.7578620260403435
level,low_dim_all_f_classif_k192_svm0.60_xgb0.40,low_dim_all,f_classif_k192,192,0.6,0.4,0.7695852534562212,0.7462978081266022,0.7700194703115456
level,low_dim_all_f_classif_k192_svm0.75_xgb0.25,low_dim_all,f_classif_k192,192,0.75,0.25,0.7511520737327189,0.7275812352535027,0.7539003879037824
level,low_dim_all_f_classif_k256_svm0.25_xgb0.75,low_dim_all,f_classif_k256,256,0.25,0.75,0.728110599078341,0.6884690925038361,0.7209760957008128
level,low_dim_all_f_classif_k256_svm0.40_xgb0.60,low_dim_all,f_classif_k256,256,0.4,0.6,0.7603686635944701,0.7396918901461986,0.7588610808036328
level,low_dim_all_f_classif_k256_svm0.50_xgb0.50,low_dim_all,f_classif_k256,256,0.5,0.5,0.7603686635944701,0.7369067711472774,0.757575964644739
level,low_dim_all_f_classif_k256_svm0.60_xgb0.40,low_dim_all,f_classif_k256,256,0.6,0.4,0.7557603686635944,0.7292170837081304,0.753978617917428
level,low_dim_all_f_classif_k256_svm0.75_xgb0.25,low_dim_all,f_classif_k256,256,0.75,0.25,0.7465437788018433,0.716099511147466,0.7444593737098677
